Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
        Crop establishment,1776,854,1630,961,2083,449,1638,1219,1688,1326,1441,649,2957,1417,2957,1417,...,...,2655,1139,2640,1143,3500,...,4585,4448,4161,4316,6867,4589,3218,4026,3677,4223,1297,2269
        Crop care and maintenance,687,735,776,788,498,584,812,1199,818,1312,788,609,485,622,485,622,...,...,677,885,689,888,0,...,563,1152,575,1117,500,1366,835,3025,1034,3340,0,...
        Harvesting and threshing,4197,3174,3633,3177,5387,2902,8973,3840,9064,4172,8611,2188,9229,3650,9229,3650,...,...,11272,4838,11355,4841,6667,...,9717,7470,9561,6750,10556,10800,15549,9826,16173,10039,12940,8600
        Post-harvest labor,348,401,399,408,240,376,502,712,502,786,500,292,645,612,645,612,...,...,666,615,677,615,53,...,1220,1383,1212,1247,1267,2017,2707,5098,2110,3068,5205,9536
        Permanent hired labor,199,683,46,217,522,1116,810,2801,173,780,3358,5601,322,1522,322,1522,...,...,418,1865,426,1881,0,...,1443,5008,1712,5417,0,...,492,2348,609,2602,0,...
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,86,63,89,65,80,58,119,93,134,94,62,65,411,404,411,404,...,...,411,349,409,351,543,...,549,653,492,606,854,817,1332,2334,880,1436,3225,3965
        Land preparation,824,931,859,963,749,882,640,967,701,1056,398,426,1706,1837,1706,1837,...,...,1775,1927,1758,1940,2700,...,2502,4490,2757,4817,1134,1388,4049,6805,1942,3248,12859,10136
        Crop establishment,240,532,269,630,177,216,1125,903,1314,908,367,260,390,588,390,588,...,...,681,1164,657,1161,2000,...,1700,3299,1688,3384,1763,2898,3788,16104,3332,17621,5694,6733
        Crop care and maintenance,1469,664,1562,604,1273,757,2029,962,2202,967,1337,564,2508,2109,2508,2109,...,...,3097,2332,3121,2346,1750,...,2342,4256,2373,4584,2180,1687,3554,5166,2758,4441,6879,6616
        Harvesting and threshing,510,1305,533,1299,461,1353,182,745,208,825,80,240,45,347,45,347,...,...,499,2106,507,2124,0,...,306,1002,162,748,1080,1682,751,2280,52,352,3673,4044
        Post-harvest labor,59,107,48,99,80,123,448,409,476,429,334,313,165,244,165,244,...,...,224,598,226,603,148,...,0,...,0,...,0,...,337,887,18,82,1672,1374
 Power,400,1688,0,...,1245,2847,442,1134,0,...,2209,1638,98,395,98,395,...,...,157,525,160,529,0,...,932,1894,1029,2031,412,671,531,951,434,747,936,1495
 Total Labor and Power Costs,13031,,11703,,15834,,20440,,20178,,21490,,22369,,22369,,0,,25862,,26014,,17361,,30211,,29655,,33199,,40661,,36546,,57866,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,106,271,130,318,56,111,214,522,192,568,302,281,227,777,227,777,...,...,315,838,320,845,0,...,1077,4562,986,4632,1568,4268,428,714,307,497,933,1158
      Irrigation,131,504,193,604,0,...,166,431,208,474,0,...,330,552,330,552,...,...,675,1127,687,1134,0,...,294,1197,349,1297,0,...,438,1322,543,1453,0,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,88,127,88,127,...,...,65,172,66,173,0,...,94,145,102,151,48,99,183,244,140,213,361,289
      Land tax,944,2353,1125,2802,562,779,859,1424,598,1252,1907,1657,256,648,256,648,...,...,92,247,94,249,0,...,0,...,0,...,0,...,0,...,0,...,0,...
      Land rent,3593,4374,4520,4855,1634,2148,5755,5453,6900,5422,1173,2335,8865,3469,8865,3469,...,...,11635,5146,11618,5191,12600,...,7037,8787,7265,9406,5815,4080,9263,11774,8883,11529,10855,12915
      Other inputs,79,121,45,91,150,145,164,205,149,218,225,138,505,914,505,914,...,...,371,444,359,439,1040,...,713,702,633,360,1141,1534,1062,518,1076,537,1004,436
      Interest on capital,5,11,5,13,3,7,4,9,4,7,4,13,186,562,186,562,...,...,279,718,284,724,21,...,140,420,139,448,142,227,39,42,39,46,41,24
 Total Other Costs,4857,,6019,,2405,,7163,,8051,,3611,,10457,,10457,,0,,13433,,13429,,13661,,9355,,9474,,8713,,11414,,10988,,13194,
Total Cost of Production,24314,,24332,,24277,,33923,,34642,,31050,,41305,,41305,,0,,48409,,48531,,41532,,50928,,50336,,54111,,63373,,57917,,86189,
NET RETURNS,-726,,-3191,,4873,,7275,,7338,,7084,,4086,,4086,,0,,5860,,6133,,-7932,,-1440,,-4653,,16925,,17030,,21964,,-3659,
Cost/kg,9.08,,9.43,,8.42,,8.77,,8.91,,8.21,,11.14,,11.14,,0,,11.68,,11.64,,14.83,,14.93,,15.83,,11.62,,12.59,,11.47,,17.37,
Net Profit Cost Ratio,-0.03,,-0.13,,0.2,,0.21,,0.21,,0.23,,0.1,,0.1,,0,,0.12,,0.13,,-0.19,,-0.03,,-0.09,,0.31,,0.27,,0.38,,-0.04,
Net Profit from Rice Farming,-726,,-3191,,4873,,7275,,7338,,7084,,4086,,4086,,0,,5860,,6133,,-7932,,-1440,,-4653,,16925,,17030,,21964,,-3659,
"Net Profit from Rice Farming + Returns
 to Own Labor",2461,,169,,7694,,11819,,12373,,9662,,9312,,9312,,0,,12547,,12812,,-791,,5959,,2819,,23935,,30842,,30948,,30344,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",6053,,4689,,9328,,17573,,19273,,10836,,18177,,18177,,0,,24182,,24429,,11809,,12996,,10083,,29750,,40105,,39830,,41198,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",6058,,4694,,9331,,17577,,19277,,10840,,18363,,18363,,0,,24461,,24714,,11830,,13136,,10223,,29892,,40145,,39869,,41240,
Quezon,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 52),,(n = 39),,(n = 13),,(n = 47),,(n = 27),,(n = 20),,(n = 60),,(n = 34),,(n = 26),,(n = 59),,(n = 29),,(n = 30),,(n = 104),,(n = 76),,(n = 28),,(n = 116),,(n = 76),,(n = 40),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),0.84,0.66,0.91,0.74,0.6,0.26,0.79,0.56,0.61,0.42,1.05,0.63,0.78,0.78,0.84,0.97,0.7,0.41,0.75,0.56,0.79,0.68,0.72,0.41,0.83,0.64,0.92,0.7,0.59,0.37,0.75,0.46,0.77,0.38,0.7,0.58
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),2922,1386,3358,1274,1613,744,3302,1666,3684,1640,2786,1598,3504,1011,3728,1145,3211,725,3173,1207,3258,1444,3091,940,3159,1671,3159,1602,3159,1877,3649,2010,3911,1908,3151,2126
   Price (₱/kg),8.81,1.21,8.99,1.29,8.26,0.72,10.03,1.26,10.59,0.99,9.27,1.2,13.4,1.16,13.54,1.24,13.21,1.04,12.61,1.68,12.86,1.98,12.36,1.32,14.86,2.01,15.21,1.95,13.93,1.9,16.01,1.81,16.23,1.5,15.59,2.23
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,25737,,30192,,13325,,33105,,38999,,25827,,46943,,50475,,42421,,39996,,41903,,38194,,46951,,48040,,43994,,58409,,63469,,49113,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,1418,937,1460,969,1291,858,1323,812,1215,524,1469,1088,1468,892,1557,1004,1352,723,1344,975,1312,1019,1375,946,2552,2953,2021,1382,3996,5001,2968,2724,3070,2967,2776,2213
      Fertilizer,2963,2000,3211,2030,2218,1774,2987,2353,4174,2166,1385,1509,2565,2695,3379,2943,1502,1908,2776,2687,3631,2607,1949,2538,5107,5954,5451,5347,4174,7388,3978,3357,4805,3508,2407,2386
      Herbicides,249,391,227,349,314,509,147,261,93,220,220,299,194,300,195,314,192,288,293,477,175,399,406,523,561,782,499,778,730,782,488,591,547,627,376,505
      Insecticides,433,688,436,726,423,585,308,613,302,754,315,363,439,684,449,809,426,488,414,726,271,364,552,941,874,1333,927,1487,727,779,688,968,736,1055,596,780
      Fungicides,3,20,4,24,0,...,149,827,259,1086,0,...,11,62,10,57,13,69,5,28,0,...,10,40,123,431,169,497,0,...,58,209,46,202,79,221
      Other pesticides,356,711,462,792,37,133,251,474,328,557,147,313,225,371,305,398,120,307,406,435,412,438,399,439,564,1247,479,396,794,2328,454,470,473,426,418,549
 Total Material Costs,5421,,5801,,4283,,5166,,6372,,3537,,4903,,5894,,3606,,5238,,5802,,4692,,9781,,9546,,10421,,8635,,9677,,6653,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,90,315,120,359,0,...,12,67,17,87,5,22,30,108,12,69,54,143,28,92,17,93,39,92,151,377,197,428,29,105,180,602,186,510,171,753
        Land preparation,1802,1581,1836,1505,1700,1855,2368,1684,2781,1845,1810,1277,2410,2275,2446,2313,2364,2270,2821,2766,2411,2644,3218,2866,3767,5257,2922,3501,6059,7997,3330,5528,3473,6393,3058,3377
        Crop establishment,1287,1395,1342,1257,1123,1797,1719,1375,1943,1377,1415,1346,2058,1673,2390,1822,1624,1370,2254,1669,2265,1772,2244,1593,4241,6855,3405,2995,6509,12126,3024,3788,2878,2927,3303,5071
        Crop care and maintenance,805,1075,919,1046,462,1130,826,1155,1206,1343,314,529,269,421,229,319,320,529,545,852,423,619,663,1025,810,1910,841,1951,726,1825,361,1097,291,770,495,1542
        Harvesting and threshing,4783,3176,5109,3289,3807,2688,5164,3549,5480,4060,4738,2760,7858,4244,7911,5187,7790,2641,9607,5119,8823,6373,10364,3463,8553,5878,8420,5976,8915,5693,12246,10707,11754,10565,13183,11046
        Post-harvest labor,432,647,527,713,146,226,1062,1338,1782,1371,92,188,541,501,637,530,416,439,642,586,893,602,399,461,933,1269,1124,1403,415,537,832,1542,1095,1815,333,533
        Permanent hired labor,270,1256,361,1443,0,...,160,1094,278,1443,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1121,4736,1481,5497,143,525,432,2013,565,2416,179,788
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,90,60,88,60,94,62,137,100,183,88,74,81,478,390,587,462,335,201,483,406,449,467,516,342,905,1595,978,1807,706,760,1781,4325,1336,2277,2627,6639
        Land preparation,782,799,777,879,795,513,950,786,1101,893,747,574,1751,2219,1816,2368,1666,2049,2051,2186,1626,1944,2461,2357,2307,2712,2013,2599,3103,2898,2716,4464,2285,4580,3535,4170
        Crop establishment,444,700,406,676,559,785,1422,1184,1931,1152,736,847,1034,961,1097,1004,951,915,1292,2315,1160,1914,1420,2673,2101,3712,2097,4162,2110,2112,4885,23559,2141,3952,10098,39548
        Crop care and maintenance,799,720,678,691,1164,707,1715,1035,1659,1008,1791,1092,2454,2512,3369,2830,1257,1302,3140,2278,4403,1966,1918,1872,4247,16229,1911,2987,10588,30380,2524,3900,1916,1761,3679,6065
        Harvesting and threshing,403,1228,370,1250,502,1204,226,913,278,1179,157,322,457,733,454,797,461,656,459,1052,501,1074,418,1047,1089,3911,1180,4427,843,1957,1273,4621,1763,5579,340,1327
        Post-harvest labor,46,70,31,59,89,86,458,317,502,340,398,282,230,275,206,259,261,296,218,276,207,312,228,241,0,...,0,...,0,...,1173,5878,492,1645,2467,9698
 Power,901,1768,1129,1973,215,526,147,882,0,...,345,1346,135,476,32,148,270,687,179,574,277,769,85,263,1758,4150,1840,4586,1538,2682,881,2045,782,1759,1069,2515
 Total Labor and Power Costs,12934,,13693,,10655,,16366,,19139,,12623,,19705,,21185,,17770,,23719,,23457,,23973,,31983,,28408,,41685,,35640,,30957,,44538,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,195,451,99,264,484,723,425,502,577,575,219,284,738,1030,711,870,773,1226,878,1093,829,873,926,1284,603,1541,299,568,1429,2682,375,618,295,563,528,693
      Irrigation,9,49,13,57,0,...,244,510,413,624,16,50,670,1229,1182,1441,0,...,37,185,76,260,0,...,35,181,48,210,0,...,174,888,266,1089,0,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,335,389,394,400,257,367,150,168,124,162,174,173,109,171,99,163,135,191,78,88,83,96,67,72
      Land tax,12,50,16,58,0,...,119,479,148,602,80,238,135,445,170,557,88,232,65,145,64,166,66,124,411,2952,0,...,1528,5610,0,...,0,...,0,...
      Land rent,33192,141880,43394,163052,2586,3291,6046,5240,7681,5683,3838,3655,9399,4710,10342,5853,8167,2084,7285,3463,7987,4493,6606,1877,7884,6613,9196,6714,4323,4858,10345,10208,10496,7787,10057,13804
      Other inputs,68,118,83,131,23,50,105,172,79,122,140,222,288,371,288,314,288,440,361,785,315,655,406,902,779,573,729,430,913,843,842,477,879,498,772,429
      Interest on capital,3,10,4,11,0,...,1,6,1,5,2,7,97,356,96,283,98,439,56,142,67,128,45,156,107,302,131,351,43,34,66,202,87,247,25,20
 Total Other Costs,33480,,43608,,3093,,6940,,8900,,4295,,11661,,13183,,9671,,8832,,9461,,8224,,9928,,10502,,8372,,11880,,12107,,11449,
Total Cost of Production,51835,,63102,,18032,,28472,,34411,,20454,,36269,,40262,,31046,,37789,,38720,,36889,,51692,,48456,,60478,,56154,,52741,,62640,
NET RETURNS,-26098,,-32910,,-4706,,4633,,4588,,5372,,10674,,10212,,11375,,2208,,3184,,1305,,-4742,,-415,,-16484,,2254,,10729,,-13527,
Cost/kg,17.74,,18.79,,11.18,,8.62,,9.34,,7.34,,10.35,,10.8,,9.67,,11.91,,11.88,,11.94,,16.36,,15.34,,19.15,,15.39,,13.48,,19.88,
Net Profit Cost Ratio,-0.5,,-0.52,,-0.26,,0.16,,0.13,,0.26,,0.29,,0.25,,0.37,,0.06,,0.08,,0.04,,-0.09,,-0.01,,-0.27,,0.04,,0.2,,-0.22,
Net Profit from Rice Farming,-26098,,-32910,,-4706,,4633,,4588,,5372,,10674,,10212,,11375,,2208,,3184,,1305,,-4742,,-415,,-16484,,2254,,10729,,-13527,
"Net Profit from Rice Farming + Returns
 to Own Labor",-23534,,-30559,,-1504,,9542,,10242,,9275,,17077,,17741,,16306,,9850,,11531,,8267,,5907,,7764,,866,,16606,,20662,,9220,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",9657,,12834,,1082,,15587,,17923,,13114,,26477,,28083,,24473,,17135,,19518,,14873,,13791,,16959,,5190,,26951,,31158,,19277,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",9660,,12838,,1082,,15589,,17924,,13115,,26573,,28178,,24571,,17191,,19585,,14918,,13898,,17090,,5233,,27016,,31245,,19302,
Occidental Mindoro,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 51),,(n = 26),,(n = 25),,(n = 25),,(n = 25),,(n = 0),,(n = 60),,(n = 43),,(n = 17),,(n = 33),,(n = 33),,(n = 0),,(n = 118),,(n = 76),,(n = 42),,(n = 94),,(n = 88),,(n = 6),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),1.52,1.34,1.51,1.51,1.54,1.17,1.45,1.67,1.45,1.67,...,...,1.55,1.01,1.7,1.1,1.18,0.6,1.68,1.6,1.68,1.6,...,...,1.83,1.52,1.89,1.63,1.72,1.32,1.73,1.81,1.8,1.85,0.73,0.23
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),4086,893,3968,892,4208,896,4347,769,4347,769,...,...,4507,1116,4476,1240,4583,744,5013,1178,5013,1178,...,...,4172,2116,4060,1542,4374,2891,4977,1529,5081,1523,3457,369
   Price (₱/kg),9.68,0.58,9.51,0.47,9.87,0.63,10.04,0.52,10.04,0.52,...,...,12.81,0.68,12.74,0.79,13,...,16.2,0.77,16.2,0.77,...,...,14.99,1.26,15.22,1.12,14.6,1.4,16.93,2.16,16.88,2.22,17.67,0.52
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,39570,,37721,,41537,,43656,,43656,,0,,57750,,57035,,59578,,81233,,81233,,0,,62558,,61777,,63845,,84236,,85734,,61076,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,1505,311,1576,345,1431,257,1545,415,1545,415,...,...,2410,913,2412,940,2404,868,2885,1235,2885,1235,...,...,3695,2337,4051,2358,3050,2182,3895,1690,3892,1706,3952,1570
      Fertilizer,4379,1720,4469,1611,4286,1856,5678,2187,5678,2187,...,...,8675,1883,9003,2035,7848,1089,8950,2826,8950,2826,...,...,7367,3806,7670,3724,6818,3936,7334,3207,7252,3295,8538,674
      Herbicides,131,204,76,201,188,196,242,389,242,389,...,...,469,458,374,344,710,613,223,340,223,340,...,...,726,994,507,632,1123,1356,578,776,569,801,718,25
      Insecticides,458,280,513,323,401,221,408,298,408,298,...,...,677,487,677,530,678,371,581,350,581,350,...,...,961,1075,803,790,1247,1424,1234,1503,1057,816,3827,4671
      Fungicides,55,190,36,182,75,200,50,188,50,188,...,...,106,326,133,371,38,158,58,165,58,165,...,...,278,495,189,475,439,495,105,221,90,211,329,257
      Other pesticides,283,408,435,462,125,271,733,1630,733,1630,...,...,723,578,826,476,463,731,675,422,675,422,...,...,967,764,967,611,967,992,863,402,876,401,674,405
 Total Material Costs,6811,,7104,,6506,,8655,,8655,,0,,13060,,13424,,12141,,13372,,13372,,0,,13993,,14186,,13644,,14010,,13735,,18038,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,41,124,7,36,76,168,4,20,4,20,...,...,8,37,12,43,0,...,17,88,17,88,...,...,67,244,25,85,142,385,131,349,124,348,238,369
        Land preparation,1245,1098,1431,1080,1051,1105,1143,1252,1143,1252,...,...,1088,1227,913,1093,1531,1457,564,819,564,819,...,...,983,1435,643,1068,1599,1786,1825,2248,1766,2288,2690,1402
        Crop establishment,2219,825,2331,608,2102,1002,1861,1195,1861,1195,...,...,3570,1420,3681,1421,3290,1418,3238,1296,3238,1296,...,...,5176,7954,4481,2509,6432,12904,5149,4196,5081,4060,6148,6281
        Crop care and maintenance,181,450,129,427,235,476,103,277,103,277,...,...,73,172,62,149,100,224,132,327,132,327,...,...,241,802,252,932,221,495,449,863,419,821,881,1365
        Harvesting and threshing,4966,915,5046,825,4883,1010,5040,1270,5040,1270,...,...,7632,2047,7401,2284,8217,1120,7485,2927,7485,2927,...,...,6407,3402,6131,2276,6906,4812,6415,3025,6196,2924,9629,2866
        Post-harvest labor,99,145,103,147,94,145,468,273,468,273,...,...,194,300,233,332,95,167,344,383,344,383,...,...,571,691,508,416,684,1013,1332,1227,1395,1243,414,183
        Permanent hired labor,742,1839,1035,2227,438,1299,1297,2803,1297,2803,...,...,2239,3754,2296,3939,2095,3346,5425,6085,5425,6085,...,...,3193,4613,3662,4659,2344,4456,2417,4876,2582,4998,0,...
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,91,62,90,61,92,65,138,123,138,123,...,...,352,417,365,446,320,342,332,502,332,502,...,...,353,670,358,741,343,526,495,800,479,812,731,595
        Land preparation,356,422,289,427,426,414,822,738,822,738,...,...,1273,1394,1293,1427,1221,1347,1217,1349,1217,1349,...,...,1168,2078,1003,1778,1468,2528,989,1546,1029,1589,400,322
        Crop establishment,71,231,41,110,102,310,627,689,627,689,...,...,285,342,310,384,222,195,206,380,206,380,...,...,386,857,230,323,670,1333,232,646,237,665,167,258
        Crop care and maintenance,254,210,303,243,203,159,682,408,682,408,...,...,1296,1367,1544,1505,670,607,1147,1306,1147,1306,...,...,1676,3596,1347,3210,2272,4183,2349,7037,2392,7267,1708,1288
        Harvesting and threshing,64,268,25,126,105,360,86,313,86,313,...,...,0,...,0,...,0,...,205,664,205,664,...,...,143,1094,0,...,402,1819,0,...,0,...,0,...
        Post-harvest labor,88,75,91,72,86,79,257,212,257,212,...,...,179,203,156,177,235,254,154,231,154,231,...,...,0,...,0,...,0,...,27,105,29,109,0,...
 Power,119,305,129,263,108,348,109,300,109,300,...,...,1268,971,1347,890,1069,1157,1342,646,1342,646,...,...,1564,2734,1408,1581,1846,4079,838,1177,857,1208,558,543
 Total Labor and Power Costs,10535,,11050,,10000,,12637,,12637,,0,,19457,,19613,,19065,,21808,,21808,,0,,21927,,20048,,25327,,22647,,22584,,23564,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,601,367,613,379,589,362,609,380,609,380,...,...,635,459,669,504,546,314,913,526,913,526,...,...,370,585,307,540,486,650,367,475,339,468,771,430
      Irrigation,615,1176,1206,1423,0,...,1385,2832,1385,2832,...,...,671,796,936,798,0,...,1272,960,1272,960,...,...,627,1430,973,1688,0,...,433,750,463,767,0,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,645,486,711,502,478,408,756,458,756,458,...,...,115,179,106,188,132,163,195,202,190,189,272,357
      Land tax,178,254,145,262,212,245,155,179,155,179,...,...,366,395,362,425,375,316,159,185,159,185,...,...,41,311,63,387,0,...,0,...,0,...,0,...
      Land rent,2840,5091,3158,3776,2509,6240,4599,5707,4599,5707,...,...,13255,5125,13500,5614,12633,3680,11436,3680,11436,3680,...,...,3757,6751,3909,5314,3480,8847,3729,6867,3983,7028,0,...
      Other inputs,438,525,412,455,464,598,451,263,451,263,...,...,1456,987,1648,1086,971,389,1621,1082,1621,1082,...,...,920,436,891,322,973,590,1070,300,1084,305,875,87
      Interest on capital,23,19,27,15,20,23,26,28,26,28,...,...,874,1181,1114,1243,266,735,1491,1506,1491,1506,...,...,417,573,488,655,288,355,322,624,341,641,51,42
 Total Other Costs,4695,,5561,,3794,,7225,,7225,,0,,17900,,18941,,15269,,17648,,17648,,0,,6247,,6739,,5359,,6116,,6399,,1969,
Total Cost of Production,22041,,23715,,20300,,28517,,28517,,0,,50418,,51977,,46475,,52829,,52829,,0,,42168,,40973,,44330,,42773,,42718,,43571,
NET RETURNS,17529,,14006,,21237,,15138,,15138,,0,,7332,,5058,,13103,,28405,,28405,,0,,20390,,20804,,19515,,41464,,43015,,17505,
Cost/kg,5.39,,5.98,,4.82,,6.56,,6.56,,0,,11.19,,11.61,,10.14,,10.54,,10.54,,0,,10.11,,10.09,,10.13,,8.59,,8.41,,12.6,
Net Profit Cost Ratio,0.8,,0.59,,1.05,,0.53,,0.53,,0,,0.15,,0.1,,0.28,,0.54,,0.54,,0,,0.48,,0.51,,0.44,,0.97,,1.01,,0.4,
Net Profit from Rice Farming,17529,,14006,,21237,,15138,,15138,,0,,7332,,5058,,13103,,28405,,28405,,0,,20390,,20804,,19515,,41464,,43015,,17505,
"Net Profit from Rice Farming + Returns
 to Own Labor",18454,,14846,,22250,,17750,,17750,,0,,10717,,8727,,15771,,31665,,31665,,0,,24117,,23742,,24670,,45555,,47181,,20511,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",21293,,18004,,24759,,22349,,22349,,0,,23972,,22228,,28404,,43101,,43101,,0,,27873,,27651,,28150,,49284,,51164,,20511,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",21317,,18031,,24779,,22375,,22375,,0,,24846,,23341,,28670,,44592,,44592,,0,,28290,,28140,,28438,,49606,,51504,,20562,
Oriental Mindoro,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 85),,(n = 67),,(n = 18),,(n = 75),,(n = 71),,(n = 4),,(n = 82),,(n = 73),,(n = 9),,(n = 86),,(n = 70),,(n = 16),,(n = 164),,(n = 140),,(n = 24),,(n = 166),,(n = 144),,(n = 22),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
